Mode,HACP (h),Total REC Cost (€),Total PV Installed (kW),PV Investment (€),Total BESS Installed (kW),BESS Investment (€)
3,0.0,920.136,91.3951367781155,17.52783445059749,0.0,0.0
3,0.1,920.363,91.21747388414049,17.493762114766668,0.1499999999999475,0.032876712328755615
3,0.2,920.589,91.39437689969604,17.52768872048965,0.3096676074685014,0.06787235232186332
3,0.3,920.695,91.47499999999991,17.54315068493149,0.4499999999998424,0.09863013698626683
3,0.4,920.891,91.56078431372536,17.559602471125412,0.59999999999979,0.13150684931502246
3,0.5,921.086,91.64656862745083,17.576054257319335,0.7499999999997374,0.16438356164377807
3,0.6,921.282,91.7494759869765,17.59578991531056,0.8999999999996849,0.19726027397253368
3,0.7,921.434,91.81813725490174,17.608957829707183,1.0499999999996323,0.23013698630128926
3,0.8,921.708,92.01870675620745,17.647423213519232,1.19999999999958,0.2630136986300449
3,0.9,921.867,92.15332214082295,17.67323986262358,1.3499999999995274,0.2958904109588005
3,1.0,922.063,92.28793752543841,17.69905651172791,1.4999999999994749,0.32876712328755614
3,1.1,922.384,100.95425531914893,19.361090061206642,1.6499999999994226,0.3616438356163118
3,1.2,922.599,91.39437689969603,17.52768872048965,1.7999999999993697,0.3945205479450673
3,1.3,922.804,91.39407294832826,17.527630428446514,1.9499999999993174,0.427397260273823
3,1.4,923.011,91.39437689969604,17.52768872048965,2.0999999999992647,0.4602739726025786
3,1.5,922.996,92.50441176470544,17.740572119258577,2.2499999999992126,0.49315068493133424
3,1.6,923.205,92.59019607843089,17.7570239054525,2.39999999999916,0.5260273972600898
3,1.7,923.495,93.23059964726781,17.879841028243142,2.549999999999107,0.5589041095888454
3,1.8,923.665,93.44497708412057,17.920954509283394,2.6999999999990547,0.591780821917601
3,1.9,923.843,93.35424297924298,17.903553448073993,2.849999999999002,0.6246575342463566
3,2.0,924.031,93.35383979446479,17.90347612496585,2.9999999999989497,0.6575342465751123
3,2.1,924.209,92.54693949502212,17.74872812233301,3.1499999999988972,0.6904109589038678
3,2.2,924.51,101.19908172635444,19.4080430708077,3.299999999998845,0.7232876712326236
3,2.3,924.634,93.35424297924298,17.903553448073993,3.4499999999987923,0.756164383561379
3,2.4,924.835,93.35424297924298,17.903553448073993,3.5999999999987393,0.7890410958901346
3,2.5,925.064,93.35383979446479,17.90347612496585,3.749999999998687,0.8219178082188903
3,2.6,925.234,93.35383979446479,17.90347612496585,3.8999999999986352,0.854794520547646
3,2.7,925.463,93.35383979446479,17.90347612496585,4.049999999998582,0.8876712328764015
3,2.8,925.655,93.35383979446479,17.90347612496585,4.1999999999985285,0.9205479452051569
3,2.9,925.868,93.35383979446479,17.90347612496585,4.349999999998476,0.9534246575339126
3,3.0,926.09,93.35383979446479,17.90347612496585,4.499999999998424,0.9863013698626684
3,3.1,926.286,93.35383979446479,17.90347612496585,4.649999999998372,1.019178082191424
3,3.2,926.47,93.35383979446479,17.90347612496585,4.79999999999832,1.0520547945201797
3,3.3,926.655,93.35383979446479,17.90347612496585,4.949999999998267,1.0849315068489354
