Mode,HACP (h),Total REC Cost (€),Total PV Installed (kW),PV Investment (€),Total BESS Installed (kW),BESS Investment (€)
3,0.0,920.136,91.3951367781155,17.52783445059749,0.0,0.0
3,0.1,920.122,91.39513677811549,17.52783445059749,0.0,0.0
3,0.2,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,0.3,920.054,91.39513677811549,17.52783445059749,0.0,0.0
3,0.4,920.131,91.39513677811549,17.52783445059749,0.0,0.0
3,0.5,919.939,91.39513677811549,17.52783445059749,0.0,0.0
3,0.6,920.111,91.39513677811547,17.52783445059749,0.0,0.0
3,0.7,920.188,91.3951367781155,17.52783445059749,0.0,0.0
3,0.8,920.019,91.05128205128207,17.46188970846505,0.0,0.0
3,0.9,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,1.0,919.978,91.3951367781155,17.527834450597492,0.0,0.0
3,1.1,920.188,91.3951367781155,17.52783445059749,0.0,0.0
3,1.2,920.028,91.3951367781155,17.52783445059749,0.0,0.0
3,1.3,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,1.4,920.141,91.3951367781155,17.527834450597492,0.0,0.0
3,1.5,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,1.6,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,1.7,920.124,91.3951367781155,17.527834450597492,0.0,0.0
3,1.8,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,1.9,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,2.0,919.967,91.3951367781155,17.527834450597492,0.0,0.0
3,2.1,919.967,91.3951367781155,17.527834450597492,0.0,0.0
3,2.2,920.091,91.39513677811549,17.52783445059749,0.0,0.0
3,2.3,920.301,97.28653980878352,18.65769256606807,0.0035411513859272,0.0007761427695182904
3,2.4,920.301,97.28653980878352,18.65769256606807,0.0035411513859272,0.0007761427695182904
3,2.5,919.935,91.39513677811547,17.52783445059749,0.0,0.0
3,2.6,920.115,91.39513677811549,17.52783445059749,0.0,0.0
3,2.7,919.954,91.3951367781155,17.527834450597492,0.0,0.0
3,2.8,919.957,91.3951367781155,17.527834450597492,0.0,0.0
3,2.9,920.143,94.16391582003081,18.05883317096481,0.0,0.0
3,3.0,920.138,91.39513677811549,17.52783445059749,0.0,0.0
3,3.1,920.206,97.44256857620493,18.687615891326974,0.0,0.0
3,3.2,920.117,91.39513677811549,17.52783445059749,0.0,0.0
3,3.3,920.112,91.39513677811549,17.52783445059749,0.0,0.0
3,3.4,920.111,91.39513677811549,17.52783445059749,0.0,0.0
3,3.5,920.118,91.39513677811549,17.52783445059749,0.0,0.0
3,3.6,920.131,91.39513677811549,17.52783445059749,0.0,0.0
3,3.7,920.127,92.60637022909751,17.760125797361162,0.0,0.0
3,3.8,920.136,91.3951367781155,17.527834450597492,0.0,0.0
3,3.9,920.054,91.3951367781155,17.527834450597492,0.0,0.0
3,4.0,920.153,91.39513677811549,17.527834450597492,0.0,0.0
3,4.1,920.131,91.39513677811549,17.52783445059749,0.0,0.0
3,4.2,920.12,91.39513677811549,17.52783445059749,0.0034144688644657,0.0007483767374171396
3,4.3,920.131,91.3951367781155,17.52783445059749,0.0,0.0
